prior_mode,parameter,n_runs,median_of_posterior_medians,q1_of_posterior_medians,q3_of_posterior_medians
broad,K_A,30,0.9501284032402173,0.9383938427619778,0.9663343138504078
mildly_misspecified,K_A,30,0.9507285206233804,0.9387871086696921,0.9665838468149716
narrow,K_A,30,0.9474898720836016,0.9364886818011924,0.9648522377466344
nominal,K_A,30,0.9495398735223408,0.9380682044956627,0.9661008239213968
broad,h,30,2.980840296893075,2.905819247442275,3.072157563905594
mildly_misspecified,h,30,2.970837329804894,2.893499304908862,3.0601848084594416
narrow,h,30,2.9944867651805316,2.925020670277833,3.082733047150186
nominal,h,30,2.981303547241916,2.907145869846266,3.073282302525311
broad,nu,30,5.94159054213341,4.788596897343705,8.911217544972617
mildly_misspecified,nu,30,5.955608667696142,4.774475698128169,8.874236830680541
narrow,nu,30,5.922882939732071,4.800895602285038,9.054852792331381
nominal,nu,30,5.92328307261255,4.800003415515356,8.895323027435332
broad,rho_A,30,0.10929868042248163,0.06890759984549893,0.14832526219010744
mildly_misspecified,rho_A,30,0.10994355887403223,0.06901750679246635,0.14909625759134146
narrow,rho_A,30,0.11020905491522198,0.06914076787506998,0.1506355863807492
nominal,rho_A,30,0.10919806533404972,0.06882734462569216,0.14848196217769477
broad,sigma0,30,0.034894103400976054,0.03332996164154952,0.03650876182168156
mildly_misspecified,sigma0,30,0.03482782271589217,0.03331564274621869,0.03654973758459173
narrow,sigma0,30,0.03488830183665489,0.03331581572261132,0.036470091227534654
nominal,sigma0,30,0.03490231900993952,0.033318340618068855,0.036519461322756866
broad,sigma_batch,30,0.021004898652632425,0.014215627777007087,0.027376007098603092
mildly_misspecified,sigma_batch,30,0.02088796464891407,0.014593666031951131,0.02750611551668339
narrow,sigma_batch,30,0.021302133858208186,0.013880538088869975,0.027302345011959862
nominal,sigma_batch,30,0.02119006500590881,0.013925823086507125,0.027444840248339174
broad,sigma_lab,30,0.03365209235691983,0.020676444348841097,0.04801189356986413
mildly_misspecified,sigma_lab,30,0.03349316012853454,0.02085000643730394,0.04813691457093126
narrow,sigma_lab,30,0.03388605959750578,0.02096684455931025,0.04805338860478773
nominal,sigma_lab,30,0.03448575273352345,0.021333670823358086,0.04780498985949161
broad,y0,30,0.04207153568374601,0.027368458227955868,0.04921372606629654
mildly_misspecified,y0,30,0.04202612373408117,0.02718662550840476,0.0494948163865146
narrow,y0,30,0.04262384117592689,0.027641919577585047,0.049382551288896785
nominal,y0,30,0.04245080341366286,0.02740824219236753,0.049320270882423994
broad,ymax,30,0.9049437114676201,0.8978703273471365,0.9106487867750032
mildly_misspecified,ymax,30,0.9058560981955104,0.8986491502056618,0.9115069316321835
narrow,ymax,30,0.9039452466216698,0.8965429936487539,0.9085712374921284
nominal,ymax,30,0.9048029967540181,0.8978647689720026,0.9105965674804994
